Año,month,day,hour,dayWeek,rentalPlace,weatherConditions,temperature,humidity,wind,pressure,rentalAmount
2022,6,1,6,3,Ayuntamiento,Parcialmente cubierto,21,0.88,8,1015,3
2022,6,1,6,3,Cabildo de Gran Canaria,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,Castillo de la Luz,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,Churruca,Parcialmente cubierto,21,0.88,8,1015,2
2022,6,1,6,3,Las Canteras - Luis Morote,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,Parque del Estadio Insular,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,Plaza de España,Parcialmente cubierto,21,0.88,8,1015,4
2022,6,1,6,3,Plaza de la feria,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,Plaza Manuel Becerra,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,San Cristóbal,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,6,3,San Telmo,Parcialmente cubierto,21,0.88,8,1015,1
2022,6,1,7,3,Ayuntamiento,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,Barranquillo Don Zoilo,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Base Naval,Mayormente cubierto,21,0.91,9.5,1016,4
2022,6,1,7,3,Cabildo de Gran Canaria,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,Canódromo (electric),Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Castillo de la Luz,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Churruca,Mayormente cubierto,21,0.91,9.5,1016,3
2022,6,1,7,3,Ciudad de la Justicia,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Gabinete Literario,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,Las Canteras - Luis Morote,Mayormente cubierto,21,0.91,9.5,1016,6
2022,6,1,7,3,León y Castillo,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Mercado Central,Mayormente cubierto,21,0.91,9.5,1016,6
2022,6,1,7,3,Obelisco,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Oficina Sítycleta (elect.),Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Parque del Estadio Insular,Mayormente cubierto,21,0.91,9.5,1016,3
2022,6,1,7,3,Parque Santa Catalina,Mayormente cubierto,21,0.91,9.5,1016,7
2022,6,1,7,3,Paseo de Chil - Av. Escaleritas,Mayormente cubierto,21,0.91,9.5,1016,4
2022,6,1,7,3,Piscina Julio Navarro,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Plaza de España,Mayormente cubierto,21,0.91,9.5,1016,5
2022,6,1,7,3,Plaza de España (elect.),Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Plaza de la feria,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Plaza del Pilar,Mayormente cubierto,21,0.91,9.5,1016,4
2022,6,1,7,3,Plaza Manuel Becerra,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Plaza Manuel Becerra (elect.),Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Plaza O'Shanahan,Mayormente cubierto,21,0.91,9.5,1016,4
2022,6,1,7,3,Plazoleta de Farray,Mayormente cubierto,21,0.91,9.5,1016,7
2022,6,1,7,3,San Bernardo,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,San Telmo,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,Torre Woermann,Mayormente cubierto,21,0.91,9.5,1016,2
2022,6,1,7,3,Vega de San José,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,7,3,Villa de Zarauz,Mayormente cubierto,21,0.91,9.5,1016,1
2022,6,1,8,3,Ayuntamiento,Mayormente cubierto,21.5,0.755,15,1016.5,1
2022,6,1,8,3,Barranquillo Don Zoilo,Mayormente cubierto,21.5,0.755,15,1016.5,2
2022,6,1,8,3,Base Naval,Mayormente cubierto,21.5,0.755,15,1016.5,4
2022,6,1,8,3,C.C. El Muelle,Mayormente cubierto,21.5,0.755,15,1016.5,1
2022,6,1,8,3,Canódromo,Mayormente cubierto,21.5,0.755,15,1016.5,1
2022,6,1,8,3,Castillo de la Luz,Mayormente cubierto,21.5,0.755,15,1016.5,2
2022,6,1,8,3,Castillo de Mata (elect.),Mayormente cubierto,21.5,0.755,15,1016.5,1
2022,6,1,8,3,Churruca,Mayormente cubierto,21.5,0.755,15,1016.5,1
