Año,month,day,hour,dayWeek,rentalPlace,weatherConditions,temperature,humidity,wind,pressure,rentalAmount
2022,9,1,6,4,Castillo de la Luz,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Churruca,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Las Canteras - Luis Morote,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Mercado Central,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Parque Santa Catalina,Nubes dispersas,24,0.83,10,1014.5,4
2022,9,1,6,4,Paseo de Chil - Av. Escaleritas,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Plaza de España,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Plaza del Pilar,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Plaza O'Shanahan,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,6,4,Vega de San José,Nubes dispersas,24,0.83,10,1014.5,1
2022,9,1,7,4,Ayuntamiento,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Barranquillo Don Zoilo,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Base Naval,Nubes dispersas,24,0.86,29,1014,3
2022,9,1,7,4,Cabildo de Gran Canaria,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Castillo de la Luz,Nubes dispersas,24,0.86,29,1014,3
2022,9,1,7,4,Churruca,Nubes dispersas,24,0.86,29,1014,3
2022,9,1,7,4,Ciudad de la Justicia,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Ciudad Deportiva,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Hoya de la Plata,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,IES Mesa y López,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Intermodal El Rincón,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Las Canteras - Luis Morote,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Mercado Central,Nubes dispersas,24,0.86,29,1014,4
2022,9,1,7,4,Obelisco,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Oficina de la Sitycleta,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Parque del Estadio Insular,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Parque Santa Catalina,Nubes dispersas,24,0.86,29,1014,4
2022,9,1,7,4,Paseo de Chil - Av. Escaleritas,Nubes dispersas,24,0.86,29,1014,4
2022,9,1,7,4,Piscina Julio Navarro,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Plaza de América,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Plaza de España,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Plaza de España (elect.),Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Plaza de la feria,Nubes dispersas,24,0.86,29,1014,4
2022,9,1,7,4,Plaza del Pilar,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Plaza O'Shanahan,Nubes dispersas,24,0.86,29,1014,3
2022,9,1,7,4,Plazoleta de Farray,Nubes dispersas,24,0.86,29,1014,3
2022,9,1,7,4,San Bernardo,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Teatro Pérez Galdós,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,7,4,Torre Las Palmas,Nubes dispersas,24,0.86,29,1014,2
2022,9,1,7,4,Torre Woermann,Nubes dispersas,24,0.86,29,1014,1
2022,9,1,8,4,Ayuntamiento,Nubes dispersas,24,0.86,29.5,1013.5,1
2022,9,1,8,4,Barranquillo Don Zoilo,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Base Naval,Nubes dispersas,24,0.86,29.5,1013.5,3
2022,9,1,8,4,Cabildo de Gran Canaria,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Canódromo (electric),Nubes dispersas,24,0.86,29.5,1013.5,1
2022,9,1,8,4,Churruca,Nubes dispersas,24,0.86,29.5,1013.5,3
2022,9,1,8,4,Gabinete Literario,Nubes dispersas,24,0.86,29.5,1013.5,1
2022,9,1,8,4,Intermodal El Rincón,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Las Canteras - Luis Morote,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,León y Castillo,Nubes dispersas,24,0.86,29.5,1013.5,4
2022,9,1,8,4,Mercado Central,Nubes dispersas,24,0.86,29.5,1013.5,4
2022,9,1,8,4,Obelisco,Nubes dispersas,24,0.86,29.5,1013.5,1
2022,9,1,8,4,Parque del Estadio Insular,Nubes dispersas,24,0.86,29.5,1013.5,1
2022,9,1,8,4,Parque Santa Catalina,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Paseo de Chil - Av. Escaleritas,Nubes dispersas,24,0.86,29.5,1013.5,3
2022,9,1,8,4,Plaza de España,Nubes dispersas,24,0.86,29.5,1013.5,4
2022,9,1,8,4,Plaza de la feria,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Plaza del Pilar,Nubes dispersas,24,0.86,29.5,1013.5,6
2022,9,1,8,4,Plaza O'Shanahan,Nubes dispersas,24,0.86,29.5,1013.5,8
2022,9,1,8,4,Plaza San Agustín,Nubes dispersas,24,0.86,29.5,1013.5,2
2022,9,1,8,4,Plazoleta de Farray,Nubes dispersas,24,0.86,29.5,1013.5,4
2022,9,1,8,4,San Bernardo,Nubes dispersas,24,0.86,29.5,1013.5,3
2022,9,1,8,4,San Telmo,Nubes dispersas,24,0.86,29.5,1013.5,1
