Año,month,day,hour,dayWeek,rentalPlace,weatherConditions,temperature,humidity,wind,pressure,rentalAmount
2022,12,1,6,4,Barranquillo Don Zoilo,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,C.C. La Minilla,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Cabildo de Gran Canaria,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Las Canteras - Luis Morote,Nubes dispersas,19,0.66,15,1016,2
2022,12,1,6,4,León y Castillo,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Mercado Central,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Plaza de la feria,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Plaza del Pilar,Nubes dispersas,19,0.66,15,1016,2
2022,12,1,6,4,Plaza O'Shanahan,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,6,4,Plazoleta de Farray,Nubes dispersas,19,0.66,15,1016,1
2022,12,1,7,4,Aparcamiento Sanapú,Mayormente cubierto,20,0.62,16,1016,1
2022,12,1,7,4,Barranquillo Don Zoilo,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Base Naval,Mayormente cubierto,20,0.62,16,1016,5
2022,12,1,7,4,C.C. La Minilla,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Cabildo de Gran Canaria,Mayormente cubierto,20,0.62,16,1016,4
2022,12,1,7,4,Canódromo,Mayormente cubierto,20,0.62,16,1016,1
2022,12,1,7,4,Castillo de la Luz,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Castillo de Mata (elect.),Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Churruca,Mayormente cubierto,20,0.62,16,1016,1
2022,12,1,7,4,Ciudad de la Justicia,Mayormente cubierto,20,0.62,16,1016,1
2022,12,1,7,4,Gabinete Literario,Mayormente cubierto,20,0.62,16,1016,3
2022,12,1,7,4,IES Mesa y López,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Intermodal El Rincón,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,Las Canteras - Luis Morote,Mayormente cubierto,20,0.62,16,1016,2
2022,12,1,7,4,León y Castillo,Mayormente cubierto,20,0.62,16,1016,4
2022,12,1,7,4,Mercado Central,Mayormente cubierto,20,0.62,16,1016,1
2022,12,1,7,4,Obelisco,Mayormente cubierto,20,0.62,16,1016,3
