Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Trail running;06/11/2022 8:09;false;Santa Brígida Trail running;13.92;1,158;2:09:48;131;158;2.6;112;249;9:20;3:38;719;732;0.96;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;02:09:48.17.4;1;31.0;2:00:40;2:09:48;340;681
Carrera;01/11/2022 18:38;false;Santa Brígida Carrera;8.00;603;0:44:37;153;178;3.1;164;222;5:35;3:46;128;143;1.09;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;44:36.97.6;1;30.0;0:44:05;0:44:37;328;409
Trail running;29/10/2022 8:52;false;Santa Brígida Trail running;9.11;661;0:51:19;148;164;3.1;166;198;5:38;4:13;175;179;1.07;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;18.0;0:00;No;51:18.86;1;29.0;0:51:19;0:58:22;214;392
Trail running;09/10/2022 17:12;false;Santa Brígida Trail running;11.12;1,07;1:11:50;159;175;4.3;155;225;6:28;4:08;312;316;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;01:11:50.49.5;1;30.0;1:11:50;1:15:06;283;469
Carrera;02/10/2022 10:04;false;Las Palmas de Gran Canaria - 10k;10.01;764;0:46:39;172;181;4.7;174;202;4:40;3:36;27;30;1.24;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;00:02.01.9;2;31.0;0:46:39;0:46:39;4;15
Carrera;29/09/2022 17:51;false;Santa Brígida - Series 1000x6;13.34;921;1:09:38;154;180;3.6;166;225;5:13;3:00;125;135;1.13;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:08.10.9;15;29.0;1:09:21;1:18:27;500;536
Carrera;27/09/2022 19:31;false;Santa Brígida Carrera;5.01;341;0:23:42;152;172;3.2;172;195;4:44;3:34;62;74;1.23;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;23:41.67.7;1;28.0;0:23:35;0:24:41;492;538
Carrera;20/09/2022 19:02;false;Santa Brígida - Series 400x6;9.31;655;0:53:00;149;182;3.0;152;202;5:42;2:52;88;108;1.14;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:07.80.4;15;30.0;0:49:34;0:54:31;517;554
Carrera;17/09/2022 19:31;false;Santa Brígida Carrera;15.35;1,148;1:25:35;154;171;3.5;169;185;5:35;4:18;291;292;1.06;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;05:56.64.8;2;30.0;1:24:46;1:26:16;459;545
Trail running;14/09/2022 19:28;false;Santa Brígida Trail running;8.75;729;0:59:41;146;171;3.0;154;187;6:50;4:09;238;227;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;59:41.13.5;1;28.0;0:59:01;1:03:56;414;529
Trail running;13/09/2022 19:39;false;Santa Brígida Trail running;7.02;654;0:50:01;149;171;3.0;149;224;7:07;4:43;269;268;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;05:34.78.1;4;29.0;0:49:33;0:54:32;428;567
Trail running;10/09/2022 20:04;false;Santa Brígida Trail running;8.27;695;0:49:20;154;173;3.5;161;208;5:58;4:24;165;174;1.03;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;01:25.62.8;9;30.0;0:49:12;0:49:20;280;452
Carrera;05/09/2022 20:21;false;Santa Brígida Carrera;10.00;712;0:49:56;160;184;3.6;172;196;4:59;3:12;137;123;1.16;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:02.09.9;11;28.0;0:49:52;0:50:34;402;447
Trail running;02/09/2022 8:03;false;Santa Brígida Trail running;8.00;722;0:50:04;159;176;3.9;159;197;6:15;3:57;223;227;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:01.76.1;9;30.0;0:50:03;0:50:04;369;496
Carrera;31/08/2022 20:33;false;Santa Brígida - Series 400x6;8.21;614;0:52:53;148;190;3.3;135;195;6:27;2:44;64;74;1.23;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:07.43.2;19;30.0;0:46:31;0:52:53;462;498
