Año,month,day,hour,dayWeek,rentalPlace,weatherConditions,temperature,humidity,wind,pressure,rentalAmount
2019,4,1,7,1,Ayuntamiento,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Barranquillo Don Zoilo,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Base Naval,Nubes dispersas,17,0.77,6.5,1014,5
2019,4,1,7,1,C.C. La Minilla,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Cabildo de Gran Canaria,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Castillo de la Luz,Nubes dispersas,17,0.77,6.5,1014,3
2019,4,1,7,1,Churruca,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Ciudad de la Justicia,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,IES Mesa y López,Nubes dispersas,17,0.77,6.5,1014,3
2019,4,1,7,1,Las Canteras - Luis Morote,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,León y Castillo,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Obelisco,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Parque del Estadio Insular,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Parque Santa Catalina,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Paseo de Chil - Av. Escaleritas,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Plaza de España,Nubes dispersas,17,0.77,6.5,1014,4
2019,4,1,7,1,Plaza de la feria,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,Plaza O'Shanahan,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Plazoleta de Farray,Nubes dispersas,17,0.77,6.5,1014,5
2019,4,1,7,1,San Cristóbal,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,7,1,San Telmo,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Teatro Pérez Galdós,Nubes dispersas,17,0.77,6.5,1014,3
2019,4,1,7,1,Torre Las Palmas,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,7,1,Torre Woermann,Nubes dispersas,17,0.77,6.5,1014,4
2019,4,1,8,1,Barranquillo Don Zoilo,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Base Naval,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,C.C. El Muelle,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,C.C. La Minilla,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Cabildo de Gran Canaria,Nubes dispersas,17,0.77,6.5,1014,3
2019,4,1,8,1,Castillo de la Luz,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Churruca,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,IES Mesa y López,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Intermodal El Rincón,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,León y Castillo,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,Obelisco,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,Parque del Estadio Insular,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,Parque Santa Catalina,Nubes dispersas,17,0.77,6.5,1014,4
2019,4,1,8,1,Paseo de Chil - Av. Escaleritas,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Plaza de España,Nubes dispersas,17,0.77,6.5,1014,3
2019,4,1,8,1,Plaza de la feria,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,Plaza del Pilar,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Plaza O'Shanahan,Nubes dispersas,17,0.77,6.5,1014,6
2019,4,1,8,1,Plazoleta de Farray,Nubes dispersas,17,0.77,6.5,1014,4
2019,4,1,8,1,San Telmo,Nubes dispersas,17,0.77,6.5,1014,2
2019,4,1,8,1,Torre Las Palmas,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,8,1,Torre Woermann,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,9,1,Barranquillo Don Zoilo,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,9,1,Base Naval,Nubes dispersas,17,0.77,6.5,1014,1
2019,4,1,9,1,Cabildo de Gran Canaria,Nubes dispersas,17,0.77,6.5,1014,1
