Año,month,day,hour,dayWeek,rentalPlace,weatherConditions,temperature,humidity,wind,pressure,rentalAmount
2019,10,1,7,2,Ayuntamiento,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Barranquillo Don Zoilo,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Base Naval,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,C.C. La Minilla,Nubes dispersas,22,0.88,32.5,1015,4
2019,10,1,7,2,Cabildo de Gran Canaria,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Castillo de la Luz,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Churruca,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,Gabinete Literario,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,IES Mesa y López,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Las Canteras - Luis Morote,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,León y Castillo,Nubes dispersas,22,0.88,32.5,1015,4
2019,10,1,7,2,Mercado Central,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Obelisco,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Parque del Estadio Insular,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Parque Santa Catalina,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,Paseo de Chil - Av. Escaleritas,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,Piscina Julio Navarro,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,Plaza de América,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Plaza de España,Nubes dispersas,22,0.88,32.5,1015,6
2019,10,1,7,2,Plaza de la feria,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Plaza Manuel Becerra,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Plaza O'Shanahan,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,Plaza San Agustín,Nubes dispersas,22,0.88,32.5,1015,1
2019,10,1,7,2,Plazoleta de Farray,Nubes dispersas,22,0.88,32.5,1015,5
2019,10,1,7,2,San Bernardo,Nubes dispersas,22,0.88,32.5,1015,3
2019,10,1,7,2,San Telmo,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Teatro Pérez Galdós,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Torre Las Palmas,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,7,2,Torre Woermann,Nubes dispersas,22,0.88,32.5,1015,2
2019,10,1,8,2,Ayuntamiento,Nubes dispersas,22,0.88,33,1015.5,5
2019,10,1,8,2,Barranquillo Don Zoilo,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Base Naval,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Cabildo de Gran Canaria,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Castillo de la Luz,Nubes dispersas,22,0.88,33,1015.5,5
2019,10,1,8,2,Churruca,Nubes dispersas,22,0.88,33,1015.5,6
2019,10,1,8,2,Gabinete Literario,Nubes dispersas,22,0.88,33,1015.5,3
2019,10,1,8,2,IES Mesa y López,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Las Canteras - Luis Morote,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,León y Castillo,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Obelisco,Nubes dispersas,22,0.88,33,1015.5,3
2019,10,1,8,2,Oficina de la Sitycleta,Nubes dispersas,22,0.88,33,1015.5,4
2019,10,1,8,2,Parque del Estadio Insular,Nubes dispersas,22,0.88,33,1015.5,3
2019,10,1,8,2,Parque Santa Catalina,Nubes dispersas,22,0.88,33,1015.5,5
2019,10,1,8,2,Paseo de Chil - Av. Escaleritas,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Piscina Julio Navarro,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Plaza de América,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Plaza de España,Nubes dispersas,22,0.88,33,1015.5,5
2019,10,1,8,2,Plaza de la feria,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Plaza O'Shanahan,Nubes dispersas,22,0.88,33,1015.5,7
2019,10,1,8,2,Plaza San Agustín,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Plazoleta de Farray,Nubes dispersas,22,0.88,33,1015.5,5
2019,10,1,8,2,San Bernardo,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,San Telmo,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Teatro Pérez Galdós,Nubes dispersas,22,0.88,33,1015.5,1
2019,10,1,8,2,Torre Las Palmas,Nubes dispersas,22,0.88,33,1015.5,2
2019,10,1,8,2,Torre Woermann,Nubes dispersas,22,0.88,33,1015.5,3
2019,10,1,9,2,Ayuntamiento,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Barranquillo Don Zoilo,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Base Naval,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,C.C. El Muelle,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Canódromo,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Castillo de la Luz,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Churruca,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Intermodal El Rincón,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Las Canteras - Luis Morote,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,León y Castillo,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Mercado Central,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Obelisco,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Oficina de la Sitycleta,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Parque del Estadio Insular,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Parque Santa Catalina,Nubes dispersas,23.5,0.805,32.5,1016,3
2019,10,1,9,2,Plaza de España,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Plaza de la feria,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,Plaza O'Shanahan,Nubes dispersas,23.5,0.805,32.5,1016,7
2019,10,1,9,2,Plazoleta de Farray,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,San Bernardo,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,San Cristóbal,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,9,2,San Telmo,Nubes dispersas,23.5,0.805,32.5,1016,2
2019,10,1,9,2,Torre Las Palmas,Nubes dispersas,23.5,0.805,32.5,1016,3
2019,10,1,9,2,Torre Woermann,Nubes dispersas,23.5,0.805,32.5,1016,1
2019,10,1,10,2,Ayuntamiento,Nubes dispersas,25.5,0.695,36,1017,1
2019,10,1,10,2,Base Naval,Nubes dispersas,25.5,0.695,36,1017,5
2019,10,1,10,2,Cabildo de Gran Canaria,Nubes dispersas,25.5,0.695,36,1017,3
2019,10,1,10,2,Canódromo,Nubes dispersas,25.5,0.695,36,1017,1
2019,10,1,10,2,Castillo de la Luz,Nubes dispersas,25.5,0.695,36,1017,1
2019,10,1,10,2,Ciudad de la Justicia,Nubes dispersas,25.5,0.695,36,1017,1
2019,10,1,10,2,Obelisco,Nubes dispersas,25.5,0.695,36,1017,2
2019,10,1,10,2,Oficina de la Sitycleta,Nubes dispersas,25.5,0.695,36,1017,3
2019,10,1,10,2,Oficina Sítycleta (elect.),Nubes dispersas,25.5,0.695,36,1017,1
2019,10,1,10,2,Parque Santa Catalina,Nubes dispersas,25.5,0.695,36,1017,2
2019,10,1,10,2,Paseo de Chil - Av. Escaleritas,Nubes dispersas,25.5,0.695,36,1017,2
2019,10,1,10,2,Plazoleta de Farray,Nubes dispersas,25.5,0.695,36,1017,3
2019,10,1,10,2,San Telmo,Nubes dispersas,25.5,0.695,36,1017,4
2019,10,1,10,2,Torre Las Palmas,Nubes dispersas,25.5,0.695,36,1017,2
2019,10,1,11,2,Ayuntamiento,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Base Naval,Nubes dispersas,25.5,0.74,42.5,1018,3
2019,10,1,11,2,C.C. El Muelle,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,C.C. La Minilla,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Churruca,Nubes dispersas,25.5,0.74,42.5,1018,3
2019,10,1,11,2,Gabinete Literario,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,IES Mesa y López,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Intermodal El Rincón,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Las Canteras - Luis Morote,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,León y Castillo,Nubes dispersas,25.5,0.74,42.5,1018,2
2019,10,1,11,2,Mercado Central,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Muelle Deportivo,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Oficina de la Sitycleta,Nubes dispersas,25.5,0.74,42.5,1018,2
2019,10,1,11,2,Parque Santa Catalina,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Paseo de Chil - Av. Escaleritas,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Plaza de la feria,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Plaza O'Shanahan,Nubes dispersas,25.5,0.74,42.5,1018,6
2019,10,1,11,2,Plaza San Agustín,Nubes dispersas,25.5,0.74,42.5,1018,2
2019,10,1,11,2,Plazoleta de Farray,Nubes dispersas,25.5,0.74,42.5,1018,5
2019,10,1,11,2,San Bernardo,Nubes dispersas,25.5,0.74,42.5,1018,2
2019,10,1,11,2,San Telmo,Nubes dispersas,25.5,0.74,42.5,1018,2
2019,10,1,11,2,Teatro Pérez Galdós,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Torre Las Palmas,Nubes dispersas,25.5,0.74,42.5,1018,1
2019,10,1,11,2,Torre Woermann,Nubes dispersas,25.5,0.74,42.5,1018,4
2019,10,1,12,2,Ayuntamiento,Nubes dispersas,26.5,0.7,45,1018,2
2019,10,1,12,2,C.C. El Muelle,Nubes dispersas,26.5,0.7,45,1018,1
2019,10,1,12,2,Castillo de la Luz,Nubes dispersas,26.5,0.7,45,1018,2
2019,10,1,12,2,Gabinete Literario,Nubes dispersas,26.5,0.7,45,1018,1
2019,10,1,12,2,Intermodal El Rincón,Nubes dispersas,26.5,0.7,45,1018,1
2019,10,1,12,2,León y Castillo,Nubes dispersas,26.5,0.7,45,1018,2
