web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1684506932-35","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","16:30","Despejado","21°","7 km/h","73%","1023 hPa",""
"1684506932-36","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","17:00","Despejado","21°","6 km/h","78%","1023 hPa",""
"1684506932-37","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","17:30","Despejado","21°","6 km/h","78%","1023 hPa",""
"1684506932-38","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","18:00","Despejado","21°","En calma","78%","1023 hPa",""
"1684506932-39","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","18:30","Despejado","21°","En calma","69%","1023 hPa",""
"1684506932-40","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","19:00","Despejado","20°","6 km/h","73%","1023 hPa",""
"1684506932-41","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","19:30","Despejado","20°","7 km/h","68%","1024 hPa",""
"1684506932-42","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","20:00","Despejado","19°","7 km/h","68%","1024 hPa",""
"1684506932-43","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","20:30","Despejado","20°","9 km/h","46%","1024 hPa",""
"1684506932-44","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","21:00","Despejado","20°","6 km/h","43%","1024 hPa",""
"1684506932-45","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","21:30","Despejado","20°","9 km/h","43%","1025 hPa",""
"1684506932-46","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","22:00","Despejado","20°","7 km/h","37%","1025 hPa",""
"1684506932-47","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","22:30","Despejado","20°","7 km/h","28%","1025 hPa",""
"1684506932-48","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","23:00","Despejado","18°","En calma","30%","1025 hPa",""
"1684506932-49","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Sábado 1 Enero 2022","23:30","Despejado","20°","4 km/h","26%","1025 hPa",""
