web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680190492-50","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","00:00","Parcialmente cubierto","20°","15 km/h","68%","1024 hPa",""
"1680190492-51","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","null","null","null","null","null","null",""
"1680190492-52","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","00:30","Parcialmente cubierto","19°","15 km/h","73%","1024 hPa",""
"1680190492-53","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","01:00","Parcialmente cubierto","19°","15 km/h","73%","1024 hPa",""
"1680190492-54","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","01:30","Parcialmente cubierto","19°","13 km/h","73%","1024 hPa",""
"1680190492-55","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","02:00","Nubes dispersas","19°","15 km/h","73%","1023 hPa",""
"1680190492-56","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","02:30","Nubes dispersas","18°","11 km/h","73%","1023 hPa",""
"1680190492-57","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","03:00","Nubes dispersas","17°","9 km/h","77%","1023 hPa",""
"1680190492-58","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","03:30","Parcialmente cubierto","17°","9 km/h","77%","1023 hPa",""
"1680190492-59","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","04:00","Parcialmente cubierto","17°","11 km/h","77%","1023 hPa",""
"1680190492-60","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","04:30","Nubes dispersas","17°","11 km/h","77%","1023 hPa",""
"1680190492-61","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","05:00","Nubes dispersas","17°","11 km/h","77%","1023 hPa",""
"1680190492-62","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","05:30","Nubes dispersas","16°","11 km/h","77%","1023 hPa",""
"1680190492-63","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","06:00","Nubes dispersas","16°","11 km/h","77%","1023 hPa",""
"1680190492-64","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","06:30","Nubes dispersas","16°","11 km/h","72%","1023 hPa",""
"1680190492-65","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","07:00","Nubes dispersas","16°","13 km/h","68%","1023 hPa",""
"1680190492-66","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","07:30","Nubes dispersas","17°","11 km/h","63%","1024 hPa",""
"1680190492-67","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","08:00","Nubes dispersas","16°","11 km/h","68%","1024 hPa",""
"1680190492-68","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","08:30","Nubes dispersas","17°","9 km/h","68%","1025 hPa",""
"1680190492-69","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","09:00","Nubes dispersas","19°","9 km/h","64%","1025 hPa",""
"1680190492-70","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","09:30","Parcialmente cubierto","19°","13 km/h","68%","1025 hPa",""
"1680190492-71","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","10:00","Parcialmente cubierto","20°","13 km/h","64%","1026 hPa",""
"1680190492-72","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","10:30","Parcialmente cubierto","21°","13 km/h","64%","1026 hPa",""
"1680190492-73","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","11:00","Parcialmente cubierto","21°","15 km/h","64%","1026 hPa",""
"1680190492-74","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","11:30","Parcialmente cubierto","21°","19 km/h","64%","1026 hPa",""
"1680190492-75","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","12:00","Nubes dispersas","21°","20 km/h","64%","1025 hPa",""
"1680190492-76","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","12:30","Nubes dispersas","21°","24 km/h","60%","1025 hPa",""
"1680190492-77","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","13:00","Nubes dispersas","21°","20 km/h","64%","1024 hPa",""
"1680190492-78","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","13:30","Nubes dispersas","21°","22 km/h","56%","1024 hPa",""
"1680190492-79","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","14:00","Nubes dispersas","21°","19 km/h","60%","1023 hPa",""
"1680190492-80","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","14:30","Nubes dispersas","21°","19 km/h","60%","1023 hPa",""
"1680190492-81","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","15:00","Nubes dispersas","21°","26 km/h","60%","1023 hPa",""
"1680190492-82","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","15:30","Nubes dispersas","21°","28 km/h","60%","1023 hPa",""
"1680190492-83","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","16:00","Nubes dispersas","21°","28 km/h","60%","1023 hPa",""
"1680190492-84","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","16:30","Nubes dispersas","21°","30 km/h","60%","1023 hPa",""
"1680190492-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","17:00","Nubes dispersas","20°","28 km/h","64%","1023 hPa",""
"1680190492-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","17:30","Nubes dispersas","20°","30 km/h","64%","1023 hPa",""
"1680190492-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","18:00","Nubes dispersas","20°","26 km/h","64%","1023 hPa",""
"1680190492-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","18:30","Parcialmente cubierto","20°","26 km/h","64%","1023 hPa",""
"1680190492-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","19:00","Parcialmente cubierto","20°","26 km/h","68%","1023 hPa",""
"1680190492-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","19:30","Parcialmente cubierto","20°","26 km/h","64%","1024 hPa",""
"1680190492-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","20:00","Nubes dispersas","20°","32 km/h","64%","1024 hPa",""
"1680190492-92","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","20:30","Nubes dispersas","20°","30 km/h","64%","1024 hPa",""
"1680190492-93","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","21:00","Parcialmente cubierto","20°","32 km/h","64%","1024 hPa",""
"1680190492-94","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","21:30","Parcialmente cubierto","20°","30 km/h","68%","1025 hPa",""
"1680190492-95","https://www.tutiempo.net/registros/gclp/1-diciembre-2021.html","Miércoles 1 Diciembre 2021","22:00","Nubes dispersas","19°","30 km/h","68%","1025 hPa",""
